,2,4,10,20
10,12450,14480,18610,23280
20,13980,16290,21080,26500
30,15510,18100,23550,19710
40,17050,19910,26010,32930
50,18580,21710,28480,36150
60,20120,23520,30940,39370
70,21650,25330,33410,42580
80,23180,27140,35870,45800
90,24720,28940,38340,49020
100,26250,30750,40800,52240
110,27780,32530,43190,55340
120,29310,34310,45570,58440
130,30840,36090,47960,61550
140,32370,37870,50350,64650
150,33900,39650,52730,67760
160,35430,41430,55120,70860
170,36950,43210,57500,73970
180,38480,44990,59890,77070
190,40010,46770,62270,80170
200,41540,48540,64660,83280
220,44590,52070,69360,89390
240,47640,55600,74060,95500
260,50690,59130,78760,101610
280,53740,62660,83460,107720
300,56840,66190,88160,113830
320,59840,69720,92860,119940
340,62890,73250,97560,126050
360,65940,76780,102260,132160
380,68990,80310,106960,138270
400,72040,83840,111660,144380
420,75090,87370,116360,150490
440,78140,90900,121060,156600
460,81190,94430,125760,162710
480,84240,97960,130460,168820
500,87290,101490,135160,174930
550,94900,110300,146900,190200
600,102510,119110,158640,205470
650,110120,127920,170380,220740
700,117730,136730,182120,236010
750,125340,145540,193860,251280
800,132950,154350,205600,266550
850,140560,163160,217340,181820
900,148170,171970,229080,297090
950,155780,180780,240820,312360
1000,163390,189590,252560,327630
